date,aave,compound,venus_finance,morpho_blue,banker_joe,spark,kamino,benqi,maple,euler,iron_bank,jupiter,fluid,blizz_protocol,moonwell,radiant_capital,zerolend,neverland,hyperlend,lista_dao,kinza_finance,uwulend,cream_finance,hypurrfi,seamless_protocol,mendi_finance,annex_finance,atlantis_loans,dolomite,ola_finance,granary_finance,strike,reserve_lending,lodestar_finance,percent_finance,hundred_finance,sake_finance,fortress_protocol,nereus_finance,easy_finance,rho_markets,realt,sturdy,channels_finance,tender_finance,extra_finance,enclabs_protocol,agave_finance,lore_finance,centrifuge,vicuna_lending,machfi,apple_lending,portler,native_lend,hopelend,goldbank_finance,lendora_protocol,hyperdrive,aquarius_loan,shroomy_protocol,neku,paribus,zeno_lend,filda,power_pool,curvance,total
2022-08-01,4683772777.760056,268650649.771084,81685698.099545,0,1730743.096789,0,0,110515429.918847,46749476.387870,0,8822706.642992,0,0,0,0,272518158.166662,0,0,0,0,0,0,1844083.937009,0,0,0,498658.187036,160519.286855,0,3587253.286703,397704.225009,135320.391927,0,0,0,166246.568835,0,1047.385399,887795.737052,11.399728,0,0,3113907.607528,1790.232290,0,0,0,249279.246070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.001500,0,0,5485489287.336785
2022-09-01,1948008030.545076,358848526.866931,91096529.462743,0,813468.042621,0,0,78613551.649067,94728613.532330,0,12374447.238116,0,0,0,0,119252711.848046,0,0,0,0,0,0,1204696.880518,0,0,0,268746.431673,114110.643812,0,5105680.522073,322419.805826,75408.242190,0,0,0,761717.324256,0,499.742206,1412166.532890,0,0,0,4335678.006486,1020.100000,0,0,0,547818.596435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717885842.013297
2022-10-01,1813712431.129932,138710161.702921,183807055.282171,0,6986581.414120,0,0,33572924.996041,20009362.213600,0,3197329.917608,0,0,0,0,63712707.258040,0,0,0,0,0,125202639.155366,265529.670187,0,0,0,145372.809257,8089.253551,0,2817785.697877,997795.505420,21145.520303,0,0,0,59310.987748,0,8160.643666,137549.927258,0,0,0,3738659.217520,379.481340,0,0,0,145343.884032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.879061,0,0,2397256341.547021
2022-11-01,3440899500.867013,546709644.807470,173452232.294866,0,1154621.570818,0,0,30726425.006017,12498041.069750,0,4568910.145132,0,0,0,0,67920606.939641,0,0,0,0,0,15823068.637551,685267.049341,0,0,0,113101.683680,0,0,2143471.173376,1800566.339210,19611.237983,159.643813,11004247.032171,0,27053.475487,0,90.620344,1828912.769392,0.000004,0,0,1993056.004974,426.656914,53.113476,0,0,77024.477276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4313446092.615699
2022-12-01,1257220144.878330,72313985.886478,65004142.058737,0,1021036.805666,0,0,24286568.872692,31389609.403027,0,1973158.272504,0,0,0,0,43027868.737569,0,0,0,0,0,77114735.056124,4820.504845,0,0,0,2478.020072,0,0,3082066.916496,3729706.026749,6136.206170,0,73154911.550812,0,141337.974091,0,0,468782.014154,0.983445,0,0,4579135.432247,145.051878,48753.680300,0,0,185048.594241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658754572.926624
2023-01-01,2730274741.410955,224080241.605765,100867258.206535,0,979028.156879,0,0,21695873.525105,2157932.369877,0,5213799.219158,0,0,0,0,111791384.462718,0,0,0,0,0,2096644.766129,87882.563284,0,0,0,36819.330438,0,0,2884712.905500,4306716.963977,58167.204915,0,0,0,16999.593655,0,228.133479,1196601.017220,0,0,0,2848112.157903,0,392198.131992,0,0,240152.932634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.149740,0,0,3211225877.807860
2023-02-01,1620399516.557249,241673513.586172,120765576.894030,0,4171008.633037,0,0,51963518.066569,10985200.384023,0,4170161.174632,0,0,0,0,252306562.185783,0,0,0,0,0,5689891.181486,67353.629773,0,0,0,6945.025939,0,0,1726181.796551,871052.693374,18332.752577,0,0,0,238279.345443,0,1263.480071,83721.140102,0.066300,0,0,1960631.950290,600.227880,2001166.753961,0,0,122836.315205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2319223313.840447
2023-03-01,5391235451.483958,559842099.367282,156581235.656439,0,7321826.647984,0,4.853413,52495722.597364,10827003.459631,0,1287903.350291,0,0,0,0,768590371.193043,0,0,0,0,0,13543832.010078,93759.976461,0,0,0,62125.250864,0,0,5792625.639911,1331489.464395,6016527.790613,0,0,0,607120.620847,0,19.413037,208184.731299,0,0,0,15475.786022,8.149840,2214575.470658,0,0,650936.085427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.105938,0,0,0,0,6978718634.104795
2023-04-01,1424231180.642669,241248781.431239,143348865.536428,0,1746917.151183,0,12.232533,16292665.692807,4800474.538420,0,300522.123898,0,0,0,0,341969872.868751,0,0,0,0,0,1426832.356639,68341.279364,0,0,0,6764.617254,0,0,2108709.944002,1962433.642072,1354293.354095,0,0,0,2398201.509194,0,48.386270,76210.672790,191.346513,0,0,787946.202994,7583.067001,2657551.648736,0,0,331564.275921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50168.961706,0,8.487721,0,0,2187176141.970202
2023-05-01,991353553.394281,83831206.419786,255917988.983541,0,678256.059335,0,8.882777,9321440.654858,5818051.250505,0,31271.711476,0,0,0,0,149924715.974236,0,0,0,0,0,457880.442163,58052.055994,0,0,0,1501.728880,0,0,1015590.134395,39314694.935283,3886963.261561,0,0,0,0,0,36.360594,29699.043775,0,0,0,54400.203528,0,2806385.484145,0,0,301239.475118,0,0,0,0,0,0,0,0,380070.611404,0,0,0,0,0,1640.794347,0,0,0,0,1545184647.861982
