day,ethereum,tron,solana,arbitrum,base,avalanche,ton,aptos,polygon,celo,stellar,sui,optimism,bsc,hyperevm,codex,worldchain,linea,total
2025-02-01,115077635300.816971,63782699309.728157,11444737194.611710,3819907296.273192,3696710060.651799,2449199920.665437,1429976002.510000,716542869.027608,412661841.441800,493885386.587000,246157395.485119,465619960.222481,231839273.909690,97049669.560000,0,0,11605123.377517,0,204376226604.868500
2025-03-01,120560483138.535370,66772680287.775612,12644583141.118109,3854761827.879474,3751360436.996651,2453369861.431863,1429976002.510000,1373418692.152774,554948264.329367,492256622.267000,281960095.524913,540020338.156091,235911930.644119,91975825.910000,0,0,11401052.422565,0,215049107517.653900
2025-04-01,118994557675.906540,71753606114.648804,13293230053.192595,3785088758.042633,3740046106.266708,2542327700.084091,1429976002.510000,1413215970.358146,490406320.682042,491442355.087000,334070650.375905,652282962.562671,189048659.120274,75375037.340000,0,3.989990,11634110.139782,0,219196308480.307190
2025-05-01,117068009824.319611,77745523239.803452,11570037170.560953,5130292460.629817,3731258108.564299,2620475070.860703,1429976002.510000,1526526199.890930,567358306.551174,492367175.747000,176949413.706362,829487195.030516,203008996.541719,58024729.530000,0,3.989990,27293599.358085,0,223176587497.594635
2025-06-01,119201423576.818817,80739594371.903137,10856738373.097118,5572750911.378645,3751769920.244737,2418328344.277145,1429976002.510000,1394434087.095508,556519620.693257,493982985.097000,158154797.510804,812972119.088553,188125829.915996,58322272.570000,0,15.524734,25598832.939398,0,227658692060.664825
2025-07-01,125606036076.285751,82722552813.003540,11747306823.130735,6795064433.183945,3688459050.378130,2615688791.530600,1429976002.510000,1465364652.259880,635411428.641282,494827224.187000,197127758.370502,717823169.374303,187036000.029441,74987397.100000,0,500164.574834,32749306.566838,0,238410911091.126892
2025-08-01,136312331204.818863,82672474833.696762,12718463317.964481,7629139525.212433,3902243767.800329,3122470105.099970,1429976002.510000,1418784248.362994,568793509.055010,493828351.217000,192572569.430915,622403920.311052,217522870.107514,68560709.000000,0,503084.004834,27981793.991096,1000543.554168,251399050356.137451
2025-09-01,149037102603.795441,78666237147.585846,14819579078.199661,7934479536.925579,4021173507.605058,2561978342.784385,1429976002.510000,1337982335.687928,600669795.907034,507289134.737000,231131049.766256,508349516.213647,226677275.916646,108583044.910000,25028471.480000,18367014.049718,38284478.733588,56124963.581059,262129013300.388885
2025-10-01,159064671336.569672,78592899702.776215,14805796426.131878,6618153660.222006,4275035429.374677,2498254618.330573,1429976002.510000,1451742465.603813,566118028.485082,509632113.177000,244818665.302776,708194228.109132,278266376.468763,86010775.856500,21545236.360000,101026272.025140,21953129.294547,42009299.237356,271316103765.835114
2025-11-01,161699753771.397369,78546094677.569336,15479123930.023823,6538234311.614026,4477221989.279348,2344530526.111847,1429976002.510000,1552927595.188651,538629758.493399,509665036.767000,215014714.505372,548780900.026073,207964028.506281,54114827.113068,60599471.670000,88147436.615704,29369562.618666,17536615.889485,274337685155.899475
2025-12-01,160190158986.976410,81530716413.217102,15201853195.054855,6004172477.775621,4223428411.747097,2459253107.135673,1429976002.510000,1495093070.083205,584629966.413293,510564551.747000,233635295.945706,382559880.500129,194081499.412291,27530055.275307,62883066.160000,52054460.424530,27349504.594118,15120775.136704,274625060720.109070
2026-01-01,153870084475.996216,83468496015.358231,13319877402.321779,6232654078.679716,4264338132.090647,2433743427.420516,1429976002.510000,1512975584.047418,605023161.791309,488055489.067000,205665056.698087,429040251.202917,207916760.186598,40271922.853766,88041973.030000,52224904.364530,30269151.703884,13385798.324655,268692039587.647217
2026-02-01,155197611346.483276,85440643040.402603,14403656249.301472,6538292176.052220,4254849254.285194,2441109530.704352,1429976002.510000,1530044392.657890,699047848.575487,488708708.037000,229021192.004690,506955927.407774,189473282.478699,88256439.940590,81718593.990000,51606103.094530,34346103.110010,12142450.373964,273617458641.409760
2026-03-01,156697324812.266968,86416979078.409958,14070012437.623339,6282220754.952578,4292186434.902352,2362081935.176658,1429976002.510000,1558147832.342337,716175769.563655,485385255.037000,270800186.005985,419706851.281312,178296282.470157,91497786.395939,90809713.610000,52036949.135630,29815347.665293,13460179.522977,275456913608.872131
2026-04-01,158769386479.355255,87398173658.250259,14109891218.047237,5802601597.144878,4517072984.246259,2376429862.902916,1429976002.510000,1492398563.934483,705376120.043034,488544769.887000,292309589.749664,408594296.648353,207100661.946595,91070122.849726,102565769.200000,51538928.428243,35405170.421952,13244149.369841,278291679944.935669
2026-05-01,155092761303.868286,89381564418.186066,13678997252.360779,6026244498.653687,4213946354.142228,2225434778.940795,1429976002.510000,1371396180.078502,957156334.423506,490455700.807000,215737949.723470,315094682.697046,189909427.621094,58747802.211006,61334006.290000,50914181.966943,20775572.635643,12712730.688501,275793159177.804443
2026-06-01,154512253526.893311,89376064527.175125,13802697262.427361,5395565170.688401,4212300609.471163,2224442477.993568,1429976002.510000,1355899505.066582,958786915.822365,491032069.807000,272237536.317226,345170018.145391,178999060.635602,58747971.931878,53927095.200000,50686758.995743,24030422.363541,12703571.504545,274755520502.948853
