day,aave,compound,morpho_blue,venus_finance,maple,fluid,euler,benqi,iron_bank,reserve_lending,spark,lodestar_finance,radiant_capital,banker_joe,blizz_protocol,moonwell,uwulend,strike,percent_finance,lista_dao,seamless_protocol,hyperlend,kinza_finance,apple_lending,hundred_finance,annex_finance,cream_finance,centrifuge,ola_finance,atlantis_loans,hypurrfi,sturdy,nereus_finance,granary_finance,easy_finance,fortress_protocol,tender_finance,hopelend,neku,zerolend,extra_finance,goldbank_finance,sake_finance,channels_finance,paribus,portler,native_lend,aquarius_loan,filda,mahalend,avalon_finance,total
2023-06-01,39621079564.291649,16857199701.319908,0,7026518311.820215,0,0,0,334745530.563810,520947575.023782,8445112.407301,0,2621257618.244921,4090699113.922609,62912090.796396,99601567.040861,0,1522853080.493586,245764979.209226,177973944.838919,0,0,0,526.541714,122041897.827771,79783616.234385,5278153.298187,7520992.748048,83180448.637770,33673389.466730,1582028.077623,0,96180003.912999,1356012.109605,249110068.813159,9138895.812922,3786344.202811,67917876.987158,0,5521060.416908,0,0,4974222.702435,0,272979.262944,1576697.515343,0,0,0,190.746040,0,0,73962893595.287720
2023-07-01,45608449385.634773,23224168356.433826,0,7603742724.729774,12500700.439100,0,0,338718271.472112,537878879.151970,9498060.035770,0,2644911980.324655,4188569772.994633,62937845.760858,102921619.275556,0,1603973256.855970,260891513.284108,183906409.666883,0,0,0,103160.654883,126109961.088697,82100540.314322,5509369.259857,7889370.117358,86378312.021675,27623806.456562,1686513.286503,0,19657041.845996,1177814.211313,107423929.163853,9443525.673353,4045587.489846,49942789.543465,0,5705095.764138,0,0,5102434.367572,0,307282.362950,1581345.651559,0,0,0,201.880242,0,0,86924856857.214111
2023-08-01,38188409368.735176,24619347891.990959,0,6772367162.736437,18339041.536204,0,0,315574089.513436,536940661.785982,9547341.104667,0,2568818599.631527,3895702301.236802,60842215.685464,102921619.275556,0,1614007976.520609,276493767.757999,183906409.666883,0,0,0,5519471.392161,126109961.088697,82165202.667494,5534702.142093,8322569.879733,80269376.130420,20868485.555873,1721749.892194,0,20327324.664683,1226322.638416,38524658.838057,10551110.876708,4217695.813903,36147903.821860,6105807.720308,5705095.764138,0,0,5102434.367572,0,333596.571159,1581196.512006,0,0,0,205.813420,0,0,79623553319.328629
2023-09-01,36826034360.311508,21234594897.899216,0,5988941235.950755,167797313.161478,0,0,268165333.723250,519606691.464330,11178391.495721,0,2433581894.528303,3380198803.235528,57543239.891264,99601567.040861,27801128.987482,1426764214.774460,305106312.614569,177973944.838919,0,0,0,10347344.577116,122041897.827771,79559495.044288,5421833.946709,8718676.691818,60665822.986174,19004782.632686,1666059.745965,0,11318486.174241,1188541.668643,24951394.264435,11533428.015774,4383914.565050,30130511.762669,7237362.474258,5521060.416908,0,0,4937839.710554,0,348057.201940,1533231.038965,0,0,0,199.174277,0,0,73335399269.837891
2023-10-01,39279161554.285103,21308285412.637955,0,6321630585.093521,383439890.554191,0,0,283082526.751826,541935436.777808,12741903.213778,1337628.458410,2533904194.434924,3501839010.330930,55965132.178273,102921619.275556,88712498.751461,1358861583.721980,341644584.400915,183906409.666883,0,0,0,17081775.301033,126109961.088697,82224375.035282,5888016.987474,8920076.860843,62688017.085713,16472130.879485,1721050.301416,0,11664820.781018,1243631.020471,24399020.089954,11962166.973627,4736251.387921,29457020.608537,12356408.145614,5705095.764138,0,0,5102434.367572,0,397503.800205,1588057.204638,0,0,0,205.813420,0,0,76729087990.030579
2023-11-01,40190911924.985336,21264498862.781670,0,6612804950.354765,849464211.626068,0,0,386914218.202563,529995476.438899,14849296.780751,5034245.852861,2572048176.336970,3072412492.227938,50768695.712392,99601567.040861,105542223.173607,1345099395.481563,379603617.668669,177973944.838919,0,0,0,73920954.310088,122041897.827771,79511168.282071,5781161.054788,8781537.868227,60665822.986174,15021324.070087,1665532.549757,0,8358800.524767,1596085.314426,21032953.492467,11579216.659785,4744229.581102,24852869.507996,16282513.315413,5521060.416908,0,0,4937839.710554,0,433681.495885,1540380.559390,0,0,0,199.174277,0,0,78125792528.205765
2023-12-01,45801157555.798096,22202628494.456875,0,7811543318.349892,848568615.209239,0,0,537733786.353714,586292739.475704,15701094.731804,10588329.677078,2644466217.600082,2298268742.258502,55311784.841548,102921619.275556,169652433.651887,1434713649.383918,409512254.603792,183906409.666883,0,3558857.374547,0,219915964.787071,126109961.088697,82140473.216305,5972542.761727,8608430.346303,62688017.085713,13681003.589304,1702810.886531,0,8818042.966717,2035021.427531,21680614.406967,11965818.064984,4901379.149133,23335440.053072,16825263.759260,5705095.764138,0,0,5102434.367572,0,479908.375326,1606466.034910,0,0,0,205.813420,0,0,85739800796.653824
2024-01-01,52585168965.564346,21971101572.023472,101089520.840001,8759837813.476774,921251074.208207,0,0,607276732.135225,613487045.840306,22153109.396221,15651670.773180,2590054760.617267,1654919268.157270,55765739.908977,102921619.275556,190259145.959336,1258226911.820135,442214797.266865,183906409.666883,0,23586861.935860,0,843250975.682140,126109961.088697,82206502.528315,6092078.601024,6548690.740009,62889495.368192,12718523.425102,1696466.742224,0,6173749.875840,1938923.799453,21736670.177375,12302881.067200,4900912.236281,22372114.931146,16825263.759260,5705095.764138,0,0,5102434.367572,0,531759.154056,1609156.940860,0,0,45086.864597,205.813420,0,0,93339629967.792786
2024-02-01,52615186246.666214,20727001269.349628,457764966.752216,8863549796.522650,806375981.887676,108222854.494861,0,590913398.907385,575535290.160037,26323783.664359,20167211.466830,2438248785.421458,1935527536.220964,53481275.398405,96281514.806166,191476060.379750,662689188.259827,406881399.232475,172041480.010955,0,13190966.464229,0,923444664.169851,117973834.566845,77079084.212215,5684584.413982,5797170.861706,59373987.660621,11763094.330307,1587018.740777,0,3670791.149065,1641348.969685,28325556.206780,11732446.450562,4584164.905387,4323121.543163,15739762.871566,5337025.069678,0,0,4773245.053535,0,875612.997393,1507479.847724,0,0,328186.802176,192.535135,0,0,92046401379.424210
2024-03-01,77189251967.319504,23685191006.376823,1185745603.638149,11053735221.006344,956399894.596733,1142914396.840028,0,733050170.035574,647505357.482558,35808335.655429,53422308.712545,2530665976.634807,1663731988.003224,59374080.168652,102921619.275556,349960763.222132,548619231.727551,445210917.058451,183906409.666883,0,51493401.156953,0,803707633.915028,126109961.088697,82394919.119928,5920743.609725,5883321.833126,63468745.430319,12915244.637514,1696472.422172,0,2462992.463710,1337111.966367,25650822.697838,12541580.688532,4901381.677058,5659021.032005,16825263.759260,5705095.764138,1819171.174267,0,5102434.367572,0,1283631.114952,1615329.609740,0,0,465588.572862,205.813420,0,0,123806375321.336136
