day,ethereum,tron,solana,bsc,base,arbitrum,polygon,avalanche,optimism,aptos,plasma,sui,ton,stellar,celo,hyperevm,worldchain,linea,stable,codex,total
2024-08-01,210214917023.168427,216830954934.439209,20140200321.408886,22524435521.606186,12465589293.672844,16840356424.591118,6146119453.975036,5873238000.982608,2377243480.460526,0,0,77731433.825018,774594875.165354,178202461.794538,114455253.714268,0,3244.662896,0,0,0,514558041723.466980
2024-09-01,151165214017.042053,199900331238.924805,13884310373.853729,21735206329.613419,17836274040.417175,13098040691.771378,5439560349.089758,5669789556.579140,2907635872.166138,0,0,58067625.684206,471255586.050633,163214194.236899,196692307.441284,0,1442.572628,0,0,0,432525593625.443237
2024-10-01,171464062886.901306,224743891648.768219,18957304183.929169,25341175409.077850,29910772885.430023,15556545338.118813,7800718661.327576,8112026320.614552,3900380822.468912,30000017.910685,0,325998341.525530,432665575.483636,205359425.720641,181031492.110157,0,19731640.828637,0,0,0,506981664650.215881
2024-11-01,270969493671.069275,283688664489.362671,32445746779.674629,37459666100.829979,38772791438.704941,31082977187.660919,11953459809.661762,11318215531.357262,7211802743.924814,613666718.419177,0,515069578.828272,659014764.800067,241348752.971785,221922420.723056,0,27105461.565630,0,0,0,727180945449.554199
2024-12-01,279828836966.622925,293307511888.903687,34117037607.704475,45822213614.427032,40733353350.868790,43643612781.523636,9056873535.624538,11237789288.333960,6945189611.819881,1532460983.643702,0,754485666.687659,676770723.932379,280643934.553837,133173840.693955,0,30209270.470555,0,0,0,768100163065.810913
2025-01-01,280043163379.365662,265006536708.444702,62655767871.802948,39075087447.204460,41022291841.480301,35777596221.456192,7812601550.279972,11154057298.872864,5607512085.390508,2584428660.395211,0,689954996.910314,714182974.411578,237947437.915545,87759054.365010,0,23370195.934278,0,0,0.400000,752492257724.629761
2025-02-01,324863123336.170837,257596244568.817657,39231293225.096443,38777220455.372856,36129245327.917114,25750355151.506798,7126379728.084705,9405193668.263081,4915625227.554663,2902531078.643079,0,487754735.503691,572758619.707426,220985115.977030,123560506.695482,0,9056148.012269,0,0,514.774993,748111327408.098145
2025-03-01,348952384917.511597,267621943845.705322,33591335117.274307,39819180501.529312,19235954694.157005,25715105223.884590,6190675062.820032,6488771498.243203,3210486074.436401,4048834428.229136,0,1098173438.004138,575624927.662650,225709432.037002,90065750.738257,0,8590867.117308,0,0,24928.907443,756872860708.257690
2025-04-01,372560567131.832642,271537880861.993286,29521393459.111511,34299951236.454731,44388371484.086876,21658474182.929398,6987848738.787871,6556874231.340878,2929189223.968493,4201538240.013446,0,1107488588.030467,527172136.026676,283876945.584052,75312916.706811,0,10281076.090963,0,0,247998.940551,796646468451.898804
2025-05-01,308772415562.131287,295497160308.170532,32450122840.657726,88361866344.631409,19736463461.438087,28806642552.617577,8504029651.105674,7080137455.963035,2915960431.396436,5806476028.334881,0,1994249668.541425,501709353.073427,249951854.713067,71720289.686490,0,73734595.552613,0,0,243629.675179,800822884027.688721
2025-06-01,279271790056.356384,278130230823.978394,25605015854.871826,173622176028.273651,26096112635.506279,21695196148.402443,9718100427.353930,6450826667.027596,2699277129.381315,5600558014.584805,0,979296644.903988,455264821.991338,249016186.850179,105063991.300101,0,47245609.995923,0,0,76.300170,830725171117.078247
2025-07-01,378238847698.905396,298941080620.365112,39517210832.355492,135708454456.540558,41257217753.665901,33046943827.707634,14162204673.634781,7979915668.748869,2101621517.561924,6541570223.298386,0,1243160855.989076,655568256.765206,296936090.746742,101336556.692059,0,106591611.841477,0,0,750061.909410,959899410706.727905
