day,tron,bsc,solana,ethereum,polygon,arbitrum,base,optimism,celo,avalanche,stellar,aptos,worldchain,ton,sui,plasma,linea,hyperevm,stable,codex,total
2025-01-01,43802083.000000,30573479.000000,16386296.000000,5294730.000000,9242337.000000,8105995.000000,6448668.000000,2001918.000000,8900858.000000,997915.000000,1321286.000000,1330761.000000,1069305.000000,868810.000000,534967.000000,0,0,0,0,2.000000,136879410.000000
2025-02-01,40062173.000000,29970696.000000,10954638.000000,5846362.000000,8176504.000000,7528395.000000,5711091.000000,2105012.000000,6273732.000000,1023590.000000,1151066.000000,1251064.000000,729177.000000,765320.000000,366977.000000,0,0,0,0,2.000000,121915799.000000
2025-03-01,45447769.000000,39603293.000000,10055625.000000,6610072.000000,8353157.000000,8518183.000000,5913795.000000,2028502.000000,2017954.000000,794371.000000,1220995.000000,1337139.000000,730649.000000,804021.000000,419421.000000,0,0,0,0,10.000000,133854956.000000
2025-04-01,43479963.000000,32890116.000000,10854361.000000,6735807.000000,8975334.000000,7759686.000000,5881640.000000,2148301.000000,1902336.000000,733834.000000,1220070.000000,1294189.000000,781567.000000,734504.000000,555396.000000,0,0,0,0,1161.000000,125948265.000000
2025-05-01,46045083.000000,85388388.000000,12900446.000000,7219484.000000,10580733.000000,8760135.000000,8611438.000000,2893710.000000,1378193.000000,853376.000000,1175256.000000,1859722.000000,966458.000000,844327.000000,1360182.000000,0,0,0,0,584.000000,190837515.000000
2025-06-01,44424720.000000,131992492.000000,12636651.000000,7311040.000000,10734524.000000,7849380.000000,10779727.000000,2818573.000000,3546500.000000,943844.000000,1080562.000000,2419266.000000,1127938.000000,697512.000000,451935.000000,0,0,0,0,5.000000,238814669.000000
2025-07-01,46129705.000000,123842129.000000,18279218.000000,7803078.000000,14818746.000000,9610774.000000,12341692.000000,2720067.000000,3904871.000000,1016485.000000,1211723.000000,2701632.000000,1290690.000000,780402.000000,831576.000000,0,0,0,0,15.000000,247282803.000000
2025-08-01,46422662.000000,74859357.000000,17033806.000000,9267356.000000,12850880.000000,10395823.000000,12828021.000000,2857318.000000,3924812.000000,1012949.000000,1163872.000000,2148213.000000,1331496.000000,922860.000000,2042637.000000,0,23.000000,0,0,44.000000,199062129.000000
2025-09-01,48292199.000000,77929768.000000,15617937.000000,9497809.000000,10242463.000000,8059515.000000,13649354.000000,2399435.000000,2672710.000000,1396794.000000,1186381.000000,2183609.000000,2656507.000000,963129.000000,935530.000000,104444.000000,123646.000000,2946.000000,0,41.000000,197914217.000000
2025-10-01,51789709.000000,95951784.000000,15906909.000000,10378859.000000,10816039.000000,9657685.000000,20225676.000000,2742634.000000,2550715.000000,1133190.000000,1284509.000000,2362930.000000,3313604.000000,868841.000000,1727458.000000,413861.000000,118313.000000,13172.000000,0,70.000000,231255958.000000
2025-11-01,50826889.000000,81213848.000000,15028138.000000,10496095.000000,11693315.000000,9340118.000000,22145627.000000,2683041.000000,3069059.000000,1098233.000000,1216134.000000,2362570.000000,1929497.000000,1037515.000000,610081.000000,676544.000000,132072.000000,20218.000000,315.000000,46.000000,215579355.000000
2025-12-01,54201384.000000,72144704.000000,13985672.000000,12881455.000000,13292442.000000,9501148.000000,17968745.000000,1895405.000000,4297972.000000,815470.000000,1256990.000000,1961117.000000,1374418.000000,1126982.000000,622323.000000,913386.000000,76818.000000,48165.000000,27680.000000,55.000000,208392331.000000
2026-01-01,52652264.000000,73331351.000000,18706161.000000,16872949.000000,14742249.000000,8943805.000000,16058450.000000,2470418.000000,3392226.000000,1016686.000000,1219793.000000,1823393.000000,1289085.000000,983652.000000,332194.000000,1005321.000000,216763.000000,63654.000000,11317.000000,53.000000,215131784.000000
2026-02-01,44612037.000000,70035370.000000,17245460.000000,14332791.000000,14928097.000000,8492802.000000,14158739.000000,1785808.000000,3705852.000000,1035889.000000,1090046.000000,1541966.000000,966454.000000,970452.000000,239851.000000,969326.000000,26714.000000,61636.000000,11585.000000,8.000000,196210883.000000
2026-03-01,51169657.000000,74032799.000000,18891916.000000,15049532.000000,18904583.000000,6470005.000000,14433831.000000,1868370.000000,5803443.000000,870010.000000,1197229.000000,1552546.000000,774018.000000,1034153.000000,359121.000000,998580.000000,38524.000000,52555.000000,8648.000000,56.000000,213509576.000000
2026-04-01,50497305.000000,71005334.000000,23250820.000000,11177684.000000,18052572.000000,5870914.000000,12218792.000000,1613362.000000,7311593.000000,872541.000000,1156049.000000,1433665.000000,631210.000000,952148.000000,208480.000000,1091387.000000,40593.000000,36657.000000,9422.000000,34.000000,207430562.000000
2026-05-01,51400760.000000,74278986.000000,21731326.000000,10892027.000000,12388668.000000,7595696.000000,14718666.000000,1889317.000000,7788150.000000,843849.000000,1245957.000000,1398030.000000,489708.000000,1200387.000000,228409.000000,1246760.000000,42973.000000,47251.000000,10305.000000,9.000000,209437234.000000
2026-06-01,12195095.000000,16403102.000000,7936444.000000,2771378.000000,2811187.000000,2244336.000000,3691973.000000,604264.000000,1555190.000000,329014.000000,360286.000000,295056.000000,181403.000000,308495.000000,84616.000000,274491.000000,9649.000000,7205.000000,2314.000000,3.000000,52065501.000000
